ano,idade_grupo,raca_cor,sexo,sigla_uf,escolaridade_grupo,n
2012,adulto,4,1,RS,baixa,19
2012,adulto,4,1,RS,media,152
2012,adulto,4,1,SC,alta,31
2012,adulto,4,1,SC,baixa,4
2012,adulto,4,1,SC,media,107
2012,adulto,4,1,SE,alta,165
2012,adulto,4,1,SE,baixa,99
2012,adulto,4,1,SE,media,486
2012,adulto,4,1,SP,alta,923
2012,adulto,4,1,SP,baixa,309
2012,adulto,4,1,SP,media,2070
2012,adulto,4,1,TO,alta,69
2012,adulto,4,1,TO,baixa,41
2012,adulto,4,1,TO,media,181
2012,adulto,4,2,AC,alta,5
2012,adulto,4,2,AC,baixa,5
2012,adulto,4,2,AC,media,9
2012,adulto,4,2,AL,alta,34
2012,adulto,4,2,AL,baixa,55
2012,adulto,4,2,AL,media,115
2012,adulto,4,2,AM,alta,143
2012,adulto,4,2,AM,baixa,28
2012,adulto,4,2,AM,media,213
2012,adulto,4,2,AP,alta,11
2012,adulto,4,2,AP,baixa,6
2012,adulto,4,2,AP,media,14
2012,adulto,4,2,BA,alta,172
2012,adulto,4,2,BA,baixa,113
2012,adulto,4,2,BA,media,554
2012,adulto,4,2,CE,alta,148
2012,adulto,4,2,CE,baixa,73
2012,adulto,4,2,CE,media,366
2012,adulto,4,2,DF,alta,59
2012,adulto,4,2,DF,baixa,13
2012,adulto,4,2,DF,media,130
2012,adulto,4,2,ES,alta,47
2012,adulto,4,2,ES,baixa,19
2012,adulto,4,2,ES,media,129
2012,adulto,4,2,GO,alta,92
2012,adulto,4,2,GO,baixa,44
2012,adulto,4,2,GO,media,248
2012,adulto,4,2,MA,alta,145
2012,adulto,4,2,MA,baixa,82
2012,adulto,4,2,MA,media,385
2012,adulto,4,2,MG,alta,245
2012,adulto,4,2,MG,baixa,93
2012,adulto,4,2,MG,media,632
2012,adulto,4,2,MS,alta,69
2012,adulto,4,2,MS,baixa,15
2012,adulto,4,2,MS,media,116
2012,adulto,4,2,MT,alta,111
2012,adulto,4,2,MT,baixa,16
2012,adulto,4,2,MT,media,198
2012,adulto,4,2,PA,alta,270
2012,adulto,4,2,PA,baixa,67
2012,adulto,4,2,PA,media,475
2012,adulto,4,2,PB,alta,28
2012,adulto,4,2,PB,baixa,32
2012,adulto,4,2,PB,media,106
2012,adulto,4,2,PE,alta,195
2012,adulto,4,2,PE,baixa,125
2012,adulto,4,2,PE,media,521
2012,adulto,4,2,PI,alta,62
2012,adulto,4,2,PI,baixa,38
2012,adulto,4,2,PI,media,182
2012,adulto,4,2,PR,alta,75
2012,adulto,4,2,PR,baixa,33
2012,adulto,4,2,PR,media,168
2012,adulto,4,2,RJ,alta,255
2012,adulto,4,2,RJ,baixa,63
2012,adulto,4,2,RJ,media,710
2012,adulto,4,2,RN,alta,26
2012,adulto,4,2,RN,baixa,29
2012,adulto,4,2,RN,media,75
2012,adulto,4,2,RO,alta,21
2012,adulto,4,2,RO,baixa,7
2012,adulto,4,2,RO,media,46
2012,adulto,4,2,RR,alta,18
2012,adulto,4,2,RR,baixa,3
2012,adulto,4,2,RR,media,25
2012,adulto,4,2,RS,alta,13
2012,adulto,4,2,RS,baixa,7
2012,adulto,4,2,RS,media,69
2012,adulto,4,2,SC,alta,12
2012,adulto,4,2,SC,baixa,2
2012,adulto,4,2,SC,media,33
2012,adulto,4,2,SE,alta,70
2012,adulto,4,2,SE,baixa,29
2012,adulto,4,2,SE,media,110
2012,adulto,4,2,SP,alta,430
2012,adulto,4,2,SP,baixa,96
2012,adulto,4,2,SP,media,793
2012,adulto,4,2,TO,alta,43
2012,adulto,4,2,TO,baixa,10
2012,adulto,4,2,TO,media,70
2012,adulto,5,1,AC,baixa,2
2012,adulto,5,1,AC,media,2
2012,adulto,5,1,AL,media,2
2012,adulto,5,1,AM,alta,8
2012,adulto,5,1,AM,baixa,7
2012,adulto,5,1,AM,media,29
2012,adulto,5,1,AP,media,2
2012,adulto,5,1,BA,alta,2
2012,adulto,5,1,BA,baixa,2
2012,adulto,5,1,BA,media,4
2012,adulto,5,1,CE,alta,1
2012,adulto,5,1,CE,baixa,1
2012,adulto,5,1,CE,media,2
2012,adulto,5,1,ES,media,1
2012,adulto,5,1,GO,alta,1
2012,adulto,5,1,GO,baixa,1
2012,adulto,5,1,MA,alta,3
2012,adulto,5,1,MA,media,7
2012,adulto,5,1,MG,baixa,1
2012,adulto,5,1,MG,media,3
2012,adulto,5,1,MS,alta,2
2012,adulto,5,1,MS,baixa,7
2012,adulto,5,1,MS,media,27
2012,adulto,5,1,MT,alta,3
2012,adulto,5,1,MT,media,4
2012,adulto,5,1,PA,alta,1
2012,adulto,5,1,PA,media,4
2012,adulto,5,1,PB,baixa,3
2012,adulto,5,1,PE,alta,2
2012,adulto,5,1,PE,baixa,1
2012,adulto,5,1,PE,media,3
2012,adulto,5,1,PI,media,1
2012,adulto,5,1,PR,alta,2
2012,adulto,5,1,PR,baixa,1
2012,adulto,5,1,PR,media,13
2012,adulto,5,1,RJ,alta,1
2012,adulto,5,1,RJ,baixa,1
2012,adulto,5,1,RJ,media,1
2012,adulto,5,1,RO,baixa,1
2012,adulto,5,1,RO,media,1
2012,adulto,5,1,RR,alta,4
2012,adulto,5,1,RR,baixa,1
2012,adulto,5,1,RR,media,3
2012,adulto,5,1,RS,baixa,2
2012,adulto,5,1,RS,media,2
2012,adulto,5,1,SC,media,2
2012,adulto,5,1,SP,alta,1
2012,adulto,5,1,SP,baixa,1
2012,adulto,5,1,SP,media,2
