ano,escolaridade_grupo,idade_grupo,raca_cor,sexo,sigla_uf,ocupacao,n
2012,alta,adulto,1,1,MT,321105,1
2012,alta,adulto,1,1,MT,322205,1
2012,alta,adulto,1,1,MT,354605,1
2012,alta,adulto,1,1,MT,354705,8
2012,alta,adulto,1,1,MT,376410,1
2012,alta,adulto,1,1,MT,413115,1
2012,alta,adulto,1,1,MT,414105,1
2012,alta,adulto,1,1,MT,414210,1
2012,alta,adulto,1,1,MT,512105,8
2012,alta,adulto,1,1,MT,516305,1
2012,alta,adulto,1,1,MT,517305,1
2012,alta,adulto,1,1,MT,517310,1
2012,alta,adulto,1,1,MT,521105,1
2012,alta,adulto,1,1,MT,521110,6
2012,alta,adulto,1,1,MT,521135,2
2012,alta,adulto,1,1,MT,524305,1
2012,alta,adulto,1,1,MT,611005,1
2012,alta,adulto,1,1,MT,613110,1
2012,alta,adulto,1,1,MT,621005,4
2012,alta,adulto,1,1,MT,622005,2
2012,alta,adulto,1,1,MT,623015,1
2012,alta,adulto,1,1,MT,631210,1
2012,alta,adulto,1,1,MT,641010,1
2012,alta,adulto,1,1,MT,715210,2
2012,alta,adulto,1,1,MT,715615,6
2012,alta,adulto,1,1,MT,716610,1
2012,alta,adulto,1,1,MT,717020,1
2012,alta,adulto,1,1,MT,721210,1
2012,alta,adulto,1,1,MT,721320,1
2012,alta,adulto,1,1,MT,723310,1
2012,alta,adulto,1,1,MT,768320,1
2012,alta,adulto,1,1,MT,771105,1
2012,alta,adulto,1,1,MT,782305,6
2012,alta,adulto,1,1,MT,782505,1
2012,alta,adulto,1,1,MT,782510,6
2012,alta,adulto,1,1,MT,783225,1
2012,alta,adulto,1,1,MT,862150,1
2012,alta,adulto,1,1,MT,911305,1
2012,alta,adulto,1,1,MT,914405,3
2012,alta,adulto,1,1,MT,914415,1
2012,alta,adulto,1,1,MT,991305,1
2012,alta,adulto,1,1,MT,991310,1
2012,alta,adulto,1,1,MT,999991,2
2012,alta,adulto,1,1,MT,999994,2
2012,alta,adulto,1,1,PA,141405,2
2012,alta,adulto,1,1,PA,141410,3
2012,alta,adulto,1,1,PA,21210,1
2012,alta,adulto,1,1,PA,313105,1
2012,alta,adulto,1,1,PA,313130,2
2012,alta,adulto,1,1,PA,313215,1
2012,alta,adulto,1,1,PA,314115,1
2012,alta,adulto,1,1,PA,317110,1
2012,alta,adulto,1,1,PA,317210,1
2012,alta,adulto,1,1,PA,322205,1
2012,alta,adulto,1,1,PA,324115,1
2012,alta,adulto,1,1,PA,328110,1
2012,alta,adulto,1,1,PA,331110,1
2012,alta,adulto,1,1,PA,333105,1
2012,alta,adulto,1,1,PA,351105,1
2012,alta,adulto,1,1,PA,352210,1
2012,alta,adulto,1,1,PA,354145,1
2012,alta,adulto,1,1,PA,354705,6
2012,alta,adulto,1,1,PA,411030,1
2012,alta,adulto,1,1,PA,412205,1
2012,alta,adulto,1,1,PA,513315,1
2012,alta,adulto,1,1,PA,513405,1
2012,alta,adulto,1,1,PA,514210,1
2012,alta,adulto,1,1,PA,514215,1
2012,alta,adulto,1,1,PA,516110,1
2012,alta,adulto,1,1,PA,517215,1
2012,alta,adulto,1,1,PA,517310,1
2012,alta,adulto,1,1,PA,517330,3
2012,alta,adulto,1,1,PA,521110,2
2012,alta,adulto,1,1,PA,523110,1
2012,alta,adulto,1,1,PA,524305,2
2012,alta,adulto,1,1,PA,612005,1
2012,alta,adulto,1,1,PA,621005,4
2012,alta,adulto,1,1,PA,622020,5
2012,alta,adulto,1,1,PA,711225,1
2012,alta,adulto,1,1,PA,715210,1
2012,alta,adulto,1,1,PA,715545,1
2012,alta,adulto,1,1,PA,716610,2
2012,alta,adulto,1,1,PA,782315,1
2012,alta,adulto,1,1,PA,782410,1
