bootstrap_iteration,bootstrap_sample_size,bootstrap_evaluation_sample_size,contrast,treated_level,reference_level,n_used,n_removed_no_common_support,risk_treated,risk_reference,risk_difference,risk_ratio,model_type,support_type
49,100000,100000,alta_vs_media,alta,media,86162,1447,0.6436516808458045,0.669686964712416,-0.02603528386661147,0.9611232034689643,xgb,pairwise_common_support_min_cell_20
50,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683818780992167,0.6836681565489002,-0.015286278449683555,0.9776407920959089,xgb,pairwise_common_support_min_cell_20
50,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6370910644071368,0.6716293291005859,-0.03453826469344912,0.9485754073013739,xgb,pairwise_common_support_min_cell_20
50,100000,100000,alta_vs_media,alta,media,86162,1447,0.6440375037654997,0.6694978289837027,-0.02546032521820296,0.9619710115313567,xgb,pairwise_common_support_min_cell_20
51,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6681891675680433,0.6837471420775555,-0.01555797450951224,0.9772460116436618,xgb,pairwise_common_support_min_cell_20
51,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6370148370517505,0.6697857753133531,-0.0327709382616026,0.9510725078533192,xgb,pairwise_common_support_min_cell_20
51,100000,100000,alta_vs_media,alta,media,86162,1447,0.643812161158852,0.6696238048958676,-0.02581164373701561,0.961453515319651,xgb,pairwise_common_support_min_cell_20
52,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683763676756908,0.6817756645423577,-0.013399296866666965,0.9803464723610203,xgb,pairwise_common_support_min_cell_20
52,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.636760488198775,0.6698960692178363,-0.03313558101906133,0.950536236079501,xgb,pairwise_common_support_min_cell_20
52,100000,100000,alta_vs_media,alta,media,86162,1447,0.6440359469651177,0.6696073233217231,-0.025571376356605446,0.9618113848729231,xgb,pairwise_common_support_min_cell_20
