ano,idade_grupo,raca_cor,sexo,sigla_uf,escolaridade_grupo,n
2012,adulto,1,2,MT,media,101
2012,adulto,1,2,MT,alta,49
2012,adulto,1,2,PA,baixa,8
2012,adulto,1,2,PA,media,102
2012,adulto,1,2,PA,alta,52
2012,adulto,1,2,PB,baixa,4
2012,adulto,1,2,PB,media,41
2012,adulto,1,2,PB,alta,14
2012,adulto,1,2,PE,baixa,36
2012,adulto,1,2,PE,media,191
2012,adulto,1,2,PE,alta,85
2012,adulto,1,2,PI,baixa,7
2012,adulto,1,2,PI,media,54
2012,adulto,1,2,PI,alta,24
2012,adulto,1,2,PR,baixa,71
2012,adulto,1,2,PR,media,841
2012,adulto,1,2,PR,alta,411
2012,adulto,1,2,RJ,baixa,47
2012,adulto,1,2,RJ,media,668
2012,adulto,1,2,RJ,alta,311
2012,adulto,1,2,RN,baixa,16
2012,adulto,1,2,RN,media,52
2012,adulto,1,2,RN,alta,28
2012,adulto,1,2,RO,baixa,2
2012,adulto,1,2,RO,media,35
2012,adulto,1,2,RO,alta,12
2012,adulto,1,2,RR,media,8
2012,adulto,1,2,RR,alta,3
2012,adulto,1,2,RS,baixa,79
2012,adulto,1,2,RS,media,606
2012,adulto,1,2,RS,alta,269
2012,adulto,1,2,SC,baixa,33
2012,adulto,1,2,SC,media,466
2012,adulto,1,2,SC,alta,289
2012,adulto,1,2,SE,baixa,5
2012,adulto,1,2,SE,media,43
2012,adulto,1,2,SE,alta,19
2012,adulto,1,2,SP,baixa,202
2012,adulto,1,2,SP,media,1660
2012,adulto,1,2,SP,alta,1051
2012,adulto,1,2,TO,baixa,3
2012,adulto,1,2,TO,media,25
2012,adulto,1,2,TO,alta,13
2012,adulto,2,1,AC,baixa,3
2012,adulto,2,1,AC,media,3
2012,adulto,2,1,AL,baixa,13
2012,adulto,2,1,AL,media,13
2012,adulto,2,1,AL,alta,1
2012,adulto,2,1,AM,baixa,2
2012,adulto,2,1,AM,media,15
2012,adulto,2,1,AM,alta,10
2012,adulto,2,1,AP,media,3
2012,adulto,2,1,BA,baixa,97
2012,adulto,2,1,BA,media,253
2012,adulto,2,1,BA,alta,40
2012,adulto,2,1,CE,baixa,17
2012,adulto,2,1,CE,media,56
2012,adulto,2,1,CE,alta,7
2012,adulto,2,1,DF,baixa,4
2012,adulto,2,1,DF,media,42
2012,adulto,2,1,DF,alta,10
2012,adulto,2,1,ES,baixa,13
2012,adulto,2,1,ES,media,59
2012,adulto,2,1,ES,alta,12
2012,adulto,2,1,GO,baixa,27
2012,adulto,2,1,GO,media,97
2012,adulto,2,1,GO,alta,23
2012,adulto,2,1,MA,baixa,41
2012,adulto,2,1,MA,media,186
2012,adulto,2,1,MA,alta,56
2012,adulto,2,1,MG,baixa,65
2012,adulto,2,1,MG,media,392
2012,adulto,2,1,MG,alta,97
2012,adulto,2,1,MS,baixa,8
2012,adulto,2,1,MS,media,25
2012,adulto,2,1,MS,alta,11
2012,adulto,2,1,MT,baixa,14
2012,adulto,2,1,MT,media,81
2012,adulto,2,1,MT,alta,25
2012,adulto,2,1,PA,baixa,16
2012,adulto,2,1,PA,media,97
2012,adulto,2,1,PA,alta,39
2012,adulto,2,1,PB,baixa,5
2012,adulto,2,1,PB,media,19
2012,adulto,2,1,PE,baixa,42
2012,adulto,2,1,PE,media,104
2012,adulto,2,1,PE,alta,21
2012,adulto,2,1,PI,baixa,20
2012,adulto,2,1,PI,media,76
2012,adulto,2,1,PI,alta,16
2012,adulto,2,1,PR,baixa,7
2012,adulto,2,1,PR,media,110
2012,adulto,2,1,PR,alta,45
2012,adulto,2,1,RJ,baixa,55
2012,adulto,2,1,RJ,media,573
2012,adulto,2,1,RJ,alta,172
2012,adulto,2,1,RN,baixa,13
2012,adulto,2,1,RN,media,22
2012,adulto,2,1,RN,alta,3
2012,adulto,2,1,RO,baixa,2
2012,adulto,2,1,RO,media,19
