ano,idade_grupo,raca_cor,sexo,sigla_uf,baixa,media,contrast,level_a,level_b,pair_stratum_n,has_pair_common_support,min_pair_cell_n,alta
2021,idoso,5,2,PB,0.0,3.0,media_vs_baixa,baixa,media,3,False,0,
2021,idoso,5,2,PE,6.0,7.0,media_vs_baixa,baixa,media,13,False,6,
2021,idoso,5,2,PI,0.0,1.0,media_vs_baixa,baixa,media,1,False,0,
2021,idoso,5,2,PR,7.0,3.0,media_vs_baixa,baixa,media,10,False,3,
2021,idoso,5,2,RJ,2.0,7.0,media_vs_baixa,baixa,media,9,False,2,
2021,idoso,5,2,RN,2.0,2.0,media_vs_baixa,baixa,media,4,False,2,
2021,idoso,5,2,RO,4.0,1.0,media_vs_baixa,baixa,media,5,False,1,
2021,idoso,5,2,RR,18.0,10.0,media_vs_baixa,baixa,media,28,False,10,
2021,idoso,5,2,RS,7.0,10.0,media_vs_baixa,baixa,media,17,False,7,
2021,idoso,5,2,SC,1.0,7.0,media_vs_baixa,baixa,media,8,False,1,
2021,idoso,5,2,SE,0.0,1.0,media_vs_baixa,baixa,media,1,False,0,
2021,idoso,5,2,SP,4.0,15.0,media_vs_baixa,baixa,media,19,False,4,
2021,idoso,5,2,TO,0.0,2.0,media_vs_baixa,baixa,media,2,False,0,
2021,jovem,1,0,PE,0.0,1.0,media_vs_baixa,baixa,media,1,False,0,
2021,jovem,1,1,AC,1.0,3.0,media_vs_baixa,baixa,media,4,False,1,
2021,jovem,1,1,AL,2.0,5.0,media_vs_baixa,baixa,media,7,False,2,
2021,jovem,1,1,AM,11.0,27.0,media_vs_baixa,baixa,media,38,False,11,
2021,jovem,1,1,AP,1.0,8.0,media_vs_baixa,baixa,media,9,False,1,
2021,jovem,1,1,BA,15.0,106.0,media_vs_baixa,baixa,media,121,False,15,
2021,jovem,1,1,CE,16.0,84.0,media_vs_baixa,baixa,media,100,False,16,
2021,jovem,1,1,DF,0.0,33.0,media_vs_baixa,baixa,media,33,False,0,
2021,jovem,1,1,ES,3.0,12.0,media_vs_baixa,baixa,media,15,False,3,
2021,jovem,1,1,GO,10.0,117.0,media_vs_baixa,baixa,media,127,False,10,
2021,jovem,1,1,MA,7.0,55.0,media_vs_baixa,baixa,media,62,False,7,
2021,jovem,1,1,MG,24.0,178.0,media_vs_baixa,baixa,media,202,True,24,
